quantity,xi,t,value
# Fig. 3(a) of Balan (2023), Phys. Fluids 35, 113108: Oldroyd-B (a = 1), kappa = 0.2, Re = 1
# v and sigma at the distance xi from the moving plate, that is at x = 100 - xi in his coordinate;
# then v_newtonian from Fig. 2, where the column is his x itself, matched to a curve by value;
# page 4 rendered at 600 dpi by pdftoppm, the velocity panel cropped to (736, 2400, 2481, 3560) and the
# shear-stress panel to (2600, 2350, 4400, 3450), each calibrated on its own tick labels
# a reading is kept only where its curve is unambiguous: of a known color, thin enough not to be two
# merged curves, and clear of the annotation circle
v,0.5,2,0.8209
v,0.5,3,0.8482
v,0.5,4,0.8653
v,0.5,5,0.8782
v,0.5,6,0.8880
v,0.5,7,0.8952
v,0.5,8,0.9019
v,0.5,9,0.9076
v,1,2,0.6242
v,1,4,0.7336
v,1,5,0.7584
v,1,6,0.7780
v,1,7,0.7930
v,1,8,0.8054
v,1,9,0.8162
v,2,2,0.1977
v,2,3,0.4006
v,2,4,0.4858
v,2,5,0.5333
v,2,6,0.5689
v,2,7,0.5973
v,2,8,0.6205
v,2,9,0.6407
v,3.5,3,0.0578
v,3.5,4,0.1673
v,3.5,5,0.2514
v,3.5,6,0.3046
v,3.5,7,0.3464
v,3.5,8,0.3795
v,3.5,9,0.4089
v,5,4,0.0176
v,5,5,0.0640
v,5,6,0.1177
v,5,7,0.1621
v,5,8,0.1982
v,5,9,0.2292
v,8,8,0.0207
v,8,9,0.0377
sigma,0.5,1,0.5659
sigma,0.5,2,0.4695
sigma,0.5,3,0.3696
sigma,0.5,4,0.3093
sigma,0.5,5,0.2707
sigma,1,2,0.4257
sigma,1,3,0.3535
sigma,1,4,0.2987
sigma,1,5,0.2620
sigma,1,6,0.2397
sigma,1,7,0.2201
sigma,1,8,0.2049
sigma,1,9,0.1924
sigma,2,1,0.0103
sigma,2,2,0.1817
sigma,2,3,0.2723
sigma,2,4,0.2558
sigma,2,5,0.2307
sigma,2,7,0.1978
sigma,2,8,0.1856
sigma,2,9,0.1763
sigma,3.5,3,0.0551
sigma,3.5,4,0.1260
sigma,3.5,5,0.1514
sigma,3.5,6,0.1530
sigma,3.5,7,0.1495
sigma,3.5,8,0.1453
sigma,3.5,9,0.1418
sigma,5,4,0.0161
sigma,5,5,0.0502
sigma,5,6,0.0783
sigma,5,7,0.0912
sigma,5,8,0.0963
sigma,5,9,0.0986
sigma,8,8,0.0154
v_newtonian,91,10,0.0432
v_newtonian,91.5,10,0.0568
v_newtonian,92,10,0.0734
v_newtonian,92.5,10,0.0929
v_newtonian,93,10,0.1165
v_newtonian,93.5,10,0.1449
v_newtonian,94,10,0.1786
v_newtonian,94.5,10,0.2170
v_newtonian,95,10,0.2620
v_newtonian,95.5,10,0.3128
v_newtonian,96,10,0.3696
v_newtonian,96.5,10,0.4328
v_newtonian,97,10,0.5020
v_newtonian,97.5,10,0.5765
v_newtonian,98,10,0.6545
v_newtonian,98.5,10,0.7385
v_newtonian,99,10,0.0722
v_newtonian,91,8,0.0432
v_newtonian,91.5,8,0.0568
v_newtonian,92,8,0.0462
v_newtonian,92.5,8,0.0615
v_newtonian,93,8,0.0805
v_newtonian,93.5,8,0.1053
v_newtonian,94,8,0.1343
v_newtonian,94.5,8,0.1697
v_newtonian,95,8,0.2123
v_newtonian,95.5,8,0.2620
v_newtonian,96,8,0.3181
v_newtonian,96.5,8,0.3832
v_newtonian,97,8,0.4553
v_newtonian,97.5,8,0.5345
v_newtonian,98,8,0.6184
v_newtonian,98.5,8,0.7385
v_newtonian,99,8,0.0722
v_newtonian,91.5,7,0.0083
v_newtonian,92,7,0.0338
v_newtonian,92.5,7,0.0456
v_newtonian,93,7,0.0621
v_newtonian,93.5,7,0.0828
v_newtonian,94,7,0.1100
v_newtonian,94.5,7,0.1419
v_newtonian,95,7,0.1827
v_newtonian,95.5,7,0.2306
v_newtonian,96,7,0.2856
v_newtonian,96.5,7,0.3512
v_newtonian,97,7,0.4245
v_newtonian,97.5,7,0.5067
v_newtonian,98,7,0.5948
v_newtonian,98.5,7,0.7385
v_newtonian,99,7,0.0722
v_newtonian,93,5,0.0278
v_newtonian,93.5,5,0.0409
v_newtonian,94,5,0.0586
v_newtonian,94.5,5,0.0822
v_newtonian,95,5,0.1148
v_newtonian,95.5,5,0.1561
v_newtonian,96,5,0.2064
v_newtonian,96.5,5,0.2696
v_newtonian,97,5,0.3447
v_newtonian,97.5,5,0.4322
v_newtonian,98,5,0.5948
v_newtonian,98.5,5,0.7385
v_newtonian,99,5,0.0722
v_newtonian,95.5,2,0.0249
v_newtonian,96,2,0.0462
v_newtonian,96.5,2,0.0816
v_newtonian,97,2,0.1354
v_newtonian,97.5,2,0.2147
v_newtonian,98,2,0.2330
v_newtonian,98.5,2,0.7385
v_newtonian,99,2,0.0722
v_newtonian,97,1,0.0355
v_newtonian,97.5,1,0.0793
v_newtonian,98,1,0.1603
v_newtonian,98.5,1,0.0190
v_newtonian,99,1,0.0722
v_newtonian,98,0.5,0.0474
v_newtonian,98.5,0.5,0.0190
v_newtonian,99,0.5,0.0722
v_newtonian,99,0.2,0.0722
