kappa,t,v
# Fig. 4(a) of Balan (2023), Phys. Fluids 35, 113108: v(x* = 95, t), a = 1, Re = 1
# page 5 rendered at 600 dpi by pdftoppm; each panel calibrated on its own tick labels:
#   crop (520, 2080, 2700, 3340): v = -2.520157e-04*row + 0.281653 (max residual 1.3e-04), t = 5.055589e-03*col + -0.84324 (max residual 8.1e-03)
#   crop (520, 3271, 2700, 4531): v = -2.571352e-04*row + 0.263911 (max residual 1.3e-04), t = 5.421502e-03*col + -0.91513 (max residual 7.1e-03)
# t kept only where the column is free of the blue annotations; the curves end before t = 10
1,3.5,0.0586
1,5,0.1139
1,5.5,0.1317
1,6,0.1491
1,6.5,0.1657
1,8,0.2115
1,8.5,0.2256
1,9,0.2389
1,9.5,0.2517
0.4,3.5,0.0141
0.4,4,0.0286
0.4,5,0.0690
0.4,5.5,0.0916
0.4,6,0.1141
0.4,6.5,0.1356
0.4,7,0.1555
0.4,7.5,0.1744
0.4,8,0.1917
0.4,8.5,0.2081
0.4,9,0.2233
0.4,9.5,0.2377
0.2,3,0.0054
0.2,7,0.1555
0.2,7.5,0.1742
0.2,8,0.1914
0.2,8.5,0.2079
0.2,9,0.2232
0.2,9.5,0.2374
